#,Bodega,Vino,Tipo,País,Premios,Ptos
1,Vranken Pommery Monopole Heidsieck,Charles Heidsieck Blanc des Millénaires 1995,Champagne,France,8,329.5
2,Bodega Zemlia de Las Casuarinas S.A.,Zemlia Himno Malbec Bicentenario 2010,Malbec,Argentina,11,314.91
3,Taylors / Wakefield Wines Pty Ltd,Taylors St Andrews Shiraz Clare Valley 2010,Syrah/Shiraz,Australia,13,297.33
4,Peller Estates Winery,Peller Estates Niagara-On-The-Lake Riesling Icewine 2008,Icewine/eiswein,Canada,11,293.25
5,Jacobs Creek Pernod Ricard Pacific,Jacobs Creek Centenary Hill Barossa Shiraz 2009,Syrah/Shiraz,Australia,9,273.13
6,Gatt Wines,Gatt Shiraz 2010,Syrah/Shiraz,Australia,12,271.25
7,Vranken Pommery Monopole Heidsieck,Champagne Piper Heidsieck Rare Millésimé 2002,Champagne,France,8,267.5
8,Gatt Wines,Gatt Shiraz 2008,Syrah/Shiraz,Australia,8,258.25
9,Bodegas Luis Cañas SA,Luis Cañas Reserva Selección De La Familia Doca Rioja 2006,Tempranillo,Spain,7,256.38
10,Vranken Pommery Monopole Heidsieck,Champagne Piper Heidsieck Brut,Champagne,France,11,255.5
11,Gatt Wines,Gatt Cabernet Sauvignon 2009,Cabernet Sauvignon,Australia,10,248.38
12,Vranken Pommery Monopole Heidsieck,Champagne Charles Heidsieck Brut Reserve,Champagne,France,8,236.75
13,Vranken Pommery Monopole Heidsieck,Champagne Piper Heidsieck Brut Millesime 2006,Champagne,France,9,235
14,Vranken Pommery Monopole Heidsieck,Charles Heidsieck Brut Rosé Millésimé 1999,Champagne,France,5,230.75
15,Gatt Wines,Gatt High Eden Shiraz 2009,Syrah/Shiraz,Australia,10,229.25
16,Vranken Pommery Monopole Heidsieck,Charles Heidsieck Vintage Brut 2000,Champagne,France,6,225
17,De Bortoli Wines Pty Ltd,De Bortoli Noble One Botrytis Semillon 2009,Late Harvest,Australia,7,224.05
18,Gatt Wines,Gatt Old Vine Shiraz 2010,Syrah/Shiraz,Australia,9,214.5
19,Matua Valley Wines Limited,Matua Valley Single Vineyard Marlborough Chardonnay 2011,Chardonnay,New Zealand,7,210.95
20,Bodegas De Familia Burgo Viejo S.L.,Burgo Viejo Licenciado Reserva Rioja 2008,Tempranillo,Spain,9,210.38
21,Ernest and Julio Gallo Family - Barefoot Wine,Barefoot Cellars Cabernet Sauvignon,Cabernet Sauvignon,USA,13,207.75
22,Vranken Pommery Monopole Heidsieck,Champagne Charles Heidsieck Rose Reserve Brut,Champagne,France,8,207.25
23,Doluca Bagcilik ve Sarapcilik A.S.,Doluca Öküzgözü Tugra 2010,Okuzgozu,Turkey,11,205.1
24,Bodegas Castelo de Medina S.A.,Castelo De Medina Verdejo Vendimia Seleccionada 2012,Verdelho,Spain,8,203.88
25,Cavas Del Castillo De Perelada SA,Castillo Perelada Finca Malaveina Empordá Costa Brava 2009,Red,Spain,7,202.88
26,Ernest and Julio Gallo Family - Barefoot Wine,Barefoot Cellars Shiraz,Syrah/Shiraz,USA,10,201.55
27,Jacobs Creek Pernod Ricard Pacific,Jacobs Creek Chardonnay 2012,Chardonnay,Australia,12,200.31
